model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Action,0.6,15,7.2
deepgazeiie,Affective,0.6,15,7.6
deepgazeiie,Art,0.6,15,11.371428571428572
deepgazeiie,BlackWhite,0.6,15,7.885714285714286
deepgazeiie,Cartoon,0.6,15,10.742857142857142
deepgazeiie,Fractal,0.6,15,9.028571428571428
deepgazeiie,Indoor,0.6,15,10.914285714285715
deepgazeiie,Inverted,0.6,15,10.114285714285714
deepgazeiie,Jumbled,0.6,15,9.714285714285714
deepgazeiie,LineDrawing,0.6,15,9.542857142857143
deepgazeiie,LowResolution,0.6,15,8.971428571428572
deepgazeiie,Noisy,0.6,15,9.428571428571429
deepgazeiie,Object,0.6,15,9.542857142857143
deepgazeiie,OutdoorManMade,0.6,15,9.028571428571428
deepgazeiie,OutdoorNatural,0.6,15,12.057142857142857
deepgazeiie,Pattern,0.6,15,14.514285714285714
deepgazeiie,Random,0.6,15,9.657142857142857
deepgazeiie,Satelite,0.6,15,12.0
deepgazeiie,Sketch,0.6,15,8.342857142857143
deepgazeiie,Social,0.6,15,8.4
samresnet,Action,0.6,15,50.44
samresnet,Affective,0.6,15,53.5
samresnet,Art,0.6,15,71.07
samresnet,BlackWhite,0.6,15,63.07
samresnet,Cartoon,0.6,15,75.42
samresnet,Fractal,0.6,15,85.26
samresnet,Indoor,0.6,15,82.77
samresnet,Inverted,0.6,15,89.41
samresnet,Jumbled,0.6,15,76.21
samresnet,LineDrawing,0.6,15,83.6
samresnet,LowResolution,0.6,15,82.42
samresnet,Noisy,0.6,15,78.58
samresnet,Object,0.6,15,69.55
samresnet,OutdoorManMade,0.6,15,74.94
samresnet,OutdoorNatural,0.6,15,66.51
samresnet,Pattern,0.6,15,80.99
samresnet,Random,0.6,15,72.13
samresnet,Satelite,0.6,15,88.73
samresnet,Sketch,0.6,15,65.68
samresnet,Social,0.6,15,40.33
