model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Action,0.5,15,9.028571428571428
deepgazeiie,Affective,0.5,15,9.028571428571428
deepgazeiie,Art,0.5,15,15.2
deepgazeiie,BlackWhite,0.5,15,9.6
deepgazeiie,Cartoon,0.5,15,12.457142857142857
deepgazeiie,Fractal,0.5,15,12.714285714285714
deepgazeiie,Indoor,0.5,15,13.085714285714285
deepgazeiie,Inverted,0.5,15,12.228571428571428
deepgazeiie,Jumbled,0.5,15,13.82857142857143
deepgazeiie,LineDrawing,0.5,15,12.342857142857143
deepgazeiie,LowResolution,0.5,15,10.571428571428571
deepgazeiie,Noisy,0.5,15,11.942857142857143
deepgazeiie,Object,0.5,15,11.885714285714286
deepgazeiie,OutdoorManMade,0.5,15,10.971428571428572
deepgazeiie,OutdoorNatural,0.5,15,14.628571428571428
deepgazeiie,Pattern,0.5,15,18.4
deepgazeiie,Random,0.5,15,10.8
deepgazeiie,Satelite,0.5,15,15.314285714285715
deepgazeiie,Sketch,0.5,15,11.2
deepgazeiie,Social,0.5,15,10.342857142857143
samresnet,Action,0.5,15,50.44
samresnet,Affective,0.5,15,53.5
samresnet,Art,0.5,15,71.07
samresnet,BlackWhite,0.5,15,63.07
samresnet,Cartoon,0.5,15,75.42
samresnet,Fractal,0.5,15,85.26
samresnet,Indoor,0.5,15,82.77
samresnet,Inverted,0.5,15,89.41
samresnet,Jumbled,0.5,15,76.21
samresnet,LineDrawing,0.5,15,83.6
samresnet,LowResolution,0.5,15,82.42
samresnet,Noisy,0.5,15,78.58
samresnet,Object,0.5,15,69.55
samresnet,OutdoorManMade,0.5,15,74.94
samresnet,OutdoorNatural,0.5,15,66.51
samresnet,Pattern,0.5,15,80.99
samresnet,Random,0.5,15,72.13
samresnet,Satelite,0.5,15,88.73
samresnet,Sketch,0.5,15,65.68
samresnet,Social,0.5,15,40.33
