model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Action,0.7,35,6.171428571428572
deepgazeiie,Affective,0.7,35,6.4
deepgazeiie,Art,0.7,35,8.114285714285714
deepgazeiie,BlackWhite,0.7,35,6.8
deepgazeiie,Cartoon,0.7,35,8.114285714285714
deepgazeiie,Fractal,0.7,35,6.857142857142857
deepgazeiie,Indoor,0.7,35,8.342857142857143
deepgazeiie,Inverted,0.7,35,7.6571428571428575
deepgazeiie,Jumbled,0.7,35,8.114285714285714
deepgazeiie,LineDrawing,0.7,35,7.542857142857143
deepgazeiie,LowResolution,0.7,35,6.514285714285714
deepgazeiie,Noisy,0.7,35,8.0
deepgazeiie,Object,0.7,35,6.9714285714285715
deepgazeiie,OutdoorManMade,0.7,35,7.142857142857143
deepgazeiie,OutdoorNatural,0.7,35,8.971428571428572
deepgazeiie,Pattern,0.7,35,11.371428571428572
deepgazeiie,Random,0.7,35,7.6
deepgazeiie,Satelite,0.7,35,9.6
deepgazeiie,Sketch,0.7,35,6.571428571428571
deepgazeiie,Social,0.7,35,6.857142857142857
samresnet,Action,0.7,35,50.44
samresnet,Affective,0.7,35,53.5
samresnet,Art,0.7,35,71.07
samresnet,BlackWhite,0.7,35,63.07
samresnet,Cartoon,0.7,35,75.42
samresnet,Fractal,0.7,35,85.26
samresnet,Indoor,0.7,35,82.77
samresnet,Inverted,0.7,35,89.41
samresnet,Jumbled,0.7,35,76.21
samresnet,LineDrawing,0.7,35,83.6
samresnet,LowResolution,0.7,35,82.42
samresnet,Noisy,0.7,35,78.58
samresnet,Object,0.7,35,69.55
samresnet,OutdoorManMade,0.7,35,74.94
samresnet,OutdoorNatural,0.7,35,66.51
samresnet,Pattern,0.7,35,80.99
samresnet,Random,0.7,35,72.13
samresnet,Satelite,0.7,35,88.73
samresnet,Sketch,0.7,35,65.68
samresnet,Social,0.7,35,40.33
