model_name,category,threshold_ratio,neighborhood,mean_model_num_peaks
deepgazeiie,Action,0.5,35,8.914285714285715
deepgazeiie,Affective,0.5,35,8.742857142857142
deepgazeiie,Art,0.5,35,14.17142857142857
deepgazeiie,BlackWhite,0.5,35,9.257142857142858
deepgazeiie,Cartoon,0.5,35,11.885714285714286
deepgazeiie,Fractal,0.5,35,12.057142857142857
deepgazeiie,Indoor,0.5,35,12.685714285714285
deepgazeiie,Inverted,0.5,35,11.771428571428572
deepgazeiie,Jumbled,0.5,35,13.028571428571428
deepgazeiie,LineDrawing,0.5,35,12.0
deepgazeiie,LowResolution,0.5,35,10.114285714285714
deepgazeiie,Noisy,0.5,35,11.885714285714286
deepgazeiie,Object,0.5,35,11.2
deepgazeiie,OutdoorManMade,0.5,35,10.8
deepgazeiie,OutdoorNatural,0.5,35,13.371428571428572
deepgazeiie,Pattern,0.5,35,17.942857142857143
deepgazeiie,Random,0.5,35,10.228571428571428
deepgazeiie,Satelite,0.5,35,14.514285714285714
deepgazeiie,Sketch,0.5,35,10.8
deepgazeiie,Social,0.5,35,10.17142857142857
samresnet,Action,0.5,35,50.44
samresnet,Affective,0.5,35,53.5
samresnet,Art,0.5,35,71.07
samresnet,BlackWhite,0.5,35,63.07
samresnet,Cartoon,0.5,35,75.42
samresnet,Fractal,0.5,35,85.26
samresnet,Indoor,0.5,35,82.77
samresnet,Inverted,0.5,35,89.41
samresnet,Jumbled,0.5,35,76.21
samresnet,LineDrawing,0.5,35,83.6
samresnet,LowResolution,0.5,35,82.42
samresnet,Noisy,0.5,35,78.58
samresnet,Object,0.5,35,69.55
samresnet,OutdoorManMade,0.5,35,74.94
samresnet,OutdoorNatural,0.5,35,66.51
samresnet,Pattern,0.5,35,80.99
samresnet,Random,0.5,35,72.13
samresnet,Satelite,0.5,35,88.73
samresnet,Sketch,0.5,35,65.68
samresnet,Social,0.5,35,40.33
